Index,Index1,Asset_Name,Asset_Type,Sector,Funds_Name,Rating,Fund Class,Value,Percentage
1902,,Intellect Desig,Equity,Information Technology,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,54.58,1.57
1903,,Linde India,Equity,Chemicals,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,53.72,1.55
1904,,Jubilant Food,Equity,Miscellaneous,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,51.08,1.47
1905,,Federal Bank,Equity,Banking & Financial Services,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,50.23,1.45
1906,,Dish TV,Equity,Media & Entertainment,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,48.88,1.41
1907,,TI Financial,Equity,Miscellaneous,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,40.09,1.15
1908,,Zuari Global,Equity,Chemicals,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,39.18,1.13
1909,,Siemens,Equity,Engineering & Capital Goods,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,39.06,1.12
1910,,Reliance Infra,Equity,Utilities,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,36.73,1.06
1911,,Cummins,Equity,Engineering & Capital Goods,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,36.16,1.04
1912,,Oriental Bank,Equity,Banking & Financial Services,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,34.7,1
1913,,ABB India,Equity,Engineering & Capital Goods,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,26.47,0.76
1914,,Tata Motors (D),Equity,Automotive,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,24.7,0.71
1915,,Max Financial,Equity,Manufacturing,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,22.8,0.66
1916,,Texmaco Rail,Equity,Engineering & Capital Goods,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,22.76,0.66
1917,,IndusInd Bank,Equity,Banking & Financial Services,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,18.76,0.54
1918,,Syndicate Bank,Equity,Banking & Financial Services,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,17.24,0.5
1919,,AB Capital,Equity,Miscellaneous,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,14.1,0.41
1920,,UFO Moviez,Equity,Media & Entertainment,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,13.11,0.38
1921,,Union Bank,Equity,Banking & Financial Services,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,13.22,0.38
1922,,Reliance Home F,Equity,Banking & Financial Services,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,12.19,0.35
1923,,BF Investment,Equity,Banking & Financial Services,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,8.09,0.23
1924,,Reliance Comm,Equity,Telecommunication,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,7.92,0.23
1925,,Rel Capital,Equity,Banking & Financial Services,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),,,4.91,0.14
1926,,Innoventive Industries Limited,Others / Unlisted,,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),-,,0,0
1927,,Chennai Super Kings Cricket Limited,Others / Unlisted,,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),-,,0,0
1928,,Cash Margin - CCIL,Others / Unlisted,,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),-,,0.01,0
1929,,Cash Margin - Derivatives,Others / Unlisted,,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),-,,0,0
1930,,CBLO,Money Market,,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),-,,24.61,0.71
1931,,Net Current Assets,Cash / Call,,Reliance Regular Savings Fund - Equity Option - Direct Plan (G),-,,-17.66,-0.52
1932,,HDFC Bank,Equity,Banking & Financial Services,HSBC India Opportunities Fund - Direct Plan (G),,,65.19,10.06
1933,,ICICI Bank,Equity,Banking & Financial Services,HSBC India Opportunities Fund - Direct Plan (G),,,49.41,7.62
1934,,Yes Bank,Equity,Banking & Financial Services,HSBC India Opportunities Fund - Direct Plan (G),,,31.9,4.92
1935,,Bharat Fin,Equity,Banking & Financial Services,HSBC India Opportunities Fund - Direct Plan (G),,,31.55,4.87
1936,,Infosys,Equity,Information Technology,HSBC India Opportunities Fund - Direct Plan (G),,,25.88,3.99
1937,,Bajaj Finance,Equity,Banking & Financial Services,HSBC India Opportunities Fund - Direct Plan (G),,,25.17,3.88
1938,,Larsen,Equity,Engineering & Capital Goods,HSBC India Opportunities Fund - Direct Plan (G),,,24.79,3.82
1939,,Reliance,Equity,Oil & Gas,HSBC India Opportunities Fund - Direct Plan (G),,,24.03,3.71
1940,,Vedanta,Equity,Metals & Mining,HSBC India Opportunities Fund - Direct Plan (G),,,23.82,3.68
1941,,Tata Motors,Equity,Automotive,HSBC India Opportunities Fund - Direct Plan (G),,,19.98,3.08
1942,,Axis Bank,Equity,Banking & Financial Services,HSBC India Opportunities Fund - Direct Plan (G),,,17.81,2.75
1943,,HCL Tech,Equity,Information Technology,HSBC India Opportunities Fund - Direct Plan (G),,,14.8,2.28
1944,,Eicher Motors,Equity,Automotive,HSBC India Opportunities Fund - Direct Plan (G),,,13.46,2.08
1945,,Dalmia Bharat,Equity,Cement & Construction,HSBC India Opportunities Fund - Direct Plan (G),,,13.21,2.04
1946,,M&M,Equity,Automotive,HSBC India Opportunities Fund - Direct Plan (G),,,11.45,1.77
1947,,Manappuram Fin,Equity,Banking & Financial Services,HSBC India Opportunities Fund - Direct Plan (G),,,11.1,1.71
1948,,Supreme Ind,Equity,Manufacturing,HSBC India Opportunities Fund - Direct Plan (G),,,11.08,1.71
1949,,ITC,Equity,Tobacco,HSBC India Opportunities Fund - Direct Plan (G),,,10.86,1.67
1950,,Jindal Steel,Equity,Metals & Mining,HSBC India Opportunities Fund - Direct Plan (G),,,10.66,1.64
1951,,Maruti Suzuki,Equity,Automotive,HSBC India Opportunities Fund - Direct Plan (G),,,9.51,1.47
1952,,J. K. Cement,Equity,Cement & Construction,HSBC India Opportunities Fund - Direct Plan (G),,,9.48,1.46
1953,,Aurobindo Pharm,Equity,Pharmaceuticals,HSBC India Opportunities Fund - Direct Plan (G),,,9.44,1.46
1954,,Balaji Amines,Equity,Chemicals,HSBC India Opportunities Fund - Direct Plan (G),,,8.86,1.37
1955,,Vinati Organics,Equity,Chemicals,HSBC India Opportunities Fund - Direct Plan (G),,,8.09,1.25
1956,,Srikalahasthi,Equity,Metals & Mining,HSBC India Opportunities Fund - Direct Plan (G),,,7.53,1.16
1957,,NCL Industries,Equity,Cement & Construction,HSBC India Opportunities Fund - Direct Plan (G),,,7.43,1.15
1958,,Arvind,Equity,Manufacturing,HSBC India Opportunities Fund - Direct Plan (G),,,7.23,1.12
1959,,Tata Steel,Equity,Metals & Mining,HSBC India Opportunities Fund - Direct Plan (G),,,7.05,1.09
1960,,Idea Cellular,Equity,Telecommunication,HSBC India Opportunities Fund - Direct Plan (G),,,6.98,1.08
1961,,Welspun India,Equity,Manufacturing,HSBC India Opportunities Fund - Direct Plan (G),,,6.91,1.07
1962,,Balkrishna Ind,Equity,Automotive,HSBC India Opportunities Fund - Direct Plan (G),,,6.85,1.06
1963,,Astral Poly Tec,Equity,Manufacturing,HSBC India Opportunities Fund - Direct Plan (G),,,6.79,1.05
1964,,UPL,Equity,Chemicals,HSBC India Opportunities Fund - Direct Plan (G),,,6.77,1.04
1965,,Bharti Airtel,Equity,Telecommunication,HSBC India Opportunities Fund - Direct Plan (G),,,6.6,1.02
1966,,JM Financial,Equity,Banking & Financial Services,HSBC India Opportunities Fund - Direct Plan (G),,,6.53,1.01
1967,,Other Equity Investments,Others / Unlisted,,HSBC India Opportunities Fund - Direct Plan (G),-,,70.11,10.83
1968,,CBLO,Cash / Call,,HSBC India Opportunities Fund - Direct Plan (G),-,,13.14,2.03
1969,,Net Current Assets,Cash / Call,,HSBC India Opportunities Fund - Direct Plan (G),-,,6.79,1
1970,,Maruti Suzuki,Equity,Automotive,Tata Ethical Fund (G),,,38.42,7.82
1971,,HUL,Equity,Consumer Non-durables,Tata Ethical Fund (G),,,31.86,6.48
1972,,Britannia,Equity,Food & Beverages,Tata Ethical Fund (G),,,20.44,4.16
1973,,UltraTechCement,Equity,Cement & Construction,Tata Ethical Fund (G),,,17.03,3.46
1974,,WABCO India,Equity,Automotive,Tata Ethical Fund (G),,,16.1,3.27
1975,,Tech Mahindra,Equity,Information Technology,Tata Ethical Fund (G),,,13.78,2.8
1976,,Carborundum,Equity,Engineering & Capital Goods,Tata Ethical Fund (G),,,13.64,2.77
1977,,UPL,Equity,Chemicals,Tata Ethical Fund (G),,,12.4,2.52
1978,,Ambuja Cements,Equity,Cement & Construction,Tata Ethical Fund (G),,,11.62,2.36
1979,,Rallis India,Equity,Chemicals,Tata Ethical Fund (G),,,11.59,2.36
1980,,Finolex Cables,Equity,Telecommunication,Tata Ethical Fund (G),,,11.55,2.35
1981,,Asian Paints,Equity,Chemicals,Tata Ethical Fund (G),,,11.41,2.32
1982,,Hero Motocorp,Equity,Automotive,Tata Ethical Fund (G),,,11.27,2.29
1983,,Cummins,Equity,Engineering & Capital Goods,Tata Ethical Fund (G),,,10.55,2.15
1984,,Mayur Uniquoter,Equity,Manufacturing,Tata Ethical Fund (G),,,10.22,2.08
1985,,Tata Global Bev,Equity,Food & Beverages,Tata Ethical Fund (G),,,10.2,2.07
1986,,Castrol,Equity,Chemicals,Tata Ethical Fund (G),,,10.2,2.07
1987,,GAIL,Equity,Oil & Gas,Tata Ethical Fund (G),,,9.83,2
1988,,Colgate,Equity,Consumer Non-durables,Tata Ethical Fund (G),,,9.79,1.99
1989,,Thermax,Equity,Engineering & Capital Goods,Tata Ethical Fund (G),,,9.45,1.92
1990,,Voltas,Equity,Conglomerates,Tata Ethical Fund (G),,,9.13,1.86
1991,,Timken,Equity,Engineering & Capital Goods,Tata Ethical Fund (G),,,9.13,1.86
1992,,Siemens,Equity,Engineering & Capital Goods,Tata Ethical Fund (G),,,9.08,1.85
1993,,Cipla,Equity,Pharmaceuticals,Tata Ethical Fund (G),,,8.9,1.81
1994,,Schaeffler Ind,Equity,Engineering & Capital Goods,Tata Ethical Fund (G),,,8.72,1.77
1995,,Bata India,Equity,Consumer Non-durables,Tata Ethical Fund (G),,,8.63,1.76
1996,,Titan Company,Equity,Miscellaneous,Tata Ethical Fund (G),,,8.57,1.74
1997,,Future Retail,Equity,Retail & Real Estate,Tata Ethical Fund (G),,,8.31,1.69
1998,,Gujarat Pipavav,Equity,Services,Tata Ethical Fund (G),,,7.83,1.59
1999,,NCC,Equity,Cement & Construction,Tata Ethical Fund (G),,,7.36,1.5
2000,,Whirlpool,Equity,Consumer Durables,Tata Ethical Fund (G),,,7.19,1.46
2001,,Mahindra CIE,Equity,Manufacturing,Tata Ethical Fund (G),,,7.12,1.45
2002,,Bajaj Electric,Equity,Consumer Durables,Tata Ethical Fund (G),,,6.96,1.41
2003,,Ipca Labs,Equity,Pharmaceuticals,Tata Ethical Fund (G),,,6.29,1.28
2004,,IOC,Equity,Oil & Gas,Tata Ethical Fund (G),,,6.26,1.27
2005,,Apollo Tyres,Equity,Automotive,Tata Ethical Fund (G),,,5.49,1.12
2006,,Nestle,Equity,Food & Beverages,Tata Ethical Fund (G),,,5.44,1.11
2007,,ABB India,Equity,Engineering & Capital Goods,Tata Ethical Fund (G),,,5.37,1.09
2008,,Amara Raja Batt,Equity,Automotive,Tata Ethical Fund (G),,,5.09,1.03
2009,,Motherson Sumi,Equity,Automotive,Tata Ethical Fund (G),,,4.94,1.01
2010,,Tata Chemicals,Equity,Chemicals,Tata Ethical Fund (G),,,4.94,1.01
2011,,Petronet LNG,Equity,Oil & Gas,Tata Ethical Fund (G),,,4.94,1
2012,,ACC,Equity,Cement & Construction,Tata Ethical Fund (G),,,4.88,0.99
2013,,Tata Elxsi,Equity,Information Technology,Tata Ethical Fund (G),,,3.79,0.77
2014,,GSFC,Equity,Chemicals,Tata Ethical Fund (G),,,2.56,0.52
2015,,Grindwell Norto,Equity,Engineering & Capital Goods,Tata Ethical Fund (G),,,2.55,0.52
2016,,NIIT,Equity,Information Technology,Tata Ethical Fund (G),,,2.43,0.49
2017,,CASH / NET CURRENT ASSET,Cash / Call,,Tata Ethical Fund (G),-,,28.4,5.78
2018,,HDFC Bank,Equity,Banking & Financial Services,HSBC India Opportunities Fund (G),,,65.19,10.06
2019,,ICICI Bank,Equity,Banking & Financial Services,HSBC India Opportunities Fund (G),,,49.41,7.62
2020,,Yes Bank,Equity,Banking & Financial Services,HSBC India Opportunities Fund (G),,,31.9,4.92
2021,,Bharat Fin,Equity,Banking & Financial Services,HSBC India Opportunities Fund (G),,,31.55,4.87
2022,,Infosys,Equity,Information Technology,HSBC India Opportunities Fund (G),,,25.88,3.99
2023,,Bajaj Finance,Equity,Banking & Financial Services,HSBC India Opportunities Fund (G),,,25.17,3.88
2024,,Larsen,Equity,Engineering & Capital Goods,HSBC India Opportunities Fund (G),,,24.79,3.82
2025,,Reliance,Equity,Oil & Gas,HSBC India Opportunities Fund (G),,,24.03,3.71
2026,,Vedanta,Equity,Metals & Mining,HSBC India Opportunities Fund (G),,,23.82,3.68
2027,,Tata Motors,Equity,Automotive,HSBC India Opportunities Fund (G),,,19.98,3.08
2028,,Axis Bank,Equity,Banking & Financial Services,HSBC India Opportunities Fund (G),,,17.81,2.75
2029,,HCL Tech,Equity,Information Technology,HSBC India Opportunities Fund (G),,,14.8,2.28
2030,,Eicher Motors,Equity,Automotive,HSBC India Opportunities Fund (G),,,13.46,2.08
2031,,Dalmia Bharat,Equity,Cement & Construction,HSBC India Opportunities Fund (G),,,13.21,2.04
2032,,M&M,Equity,Automotive,HSBC India Opportunities Fund (G),,,11.45,1.77
2033,,Manappuram Fin,Equity,Banking & Financial Services,HSBC India Opportunities Fund (G),,,11.1,1.71
2034,,Supreme Ind,Equity,Manufacturing,HSBC India Opportunities Fund (G),,,11.08,1.71
2035,,ITC,Equity,Tobacco,HSBC India Opportunities Fund (G),,,10.86,1.67
2036,,Jindal Steel,Equity,Metals & Mining,HSBC India Opportunities Fund (G),,,10.66,1.64
2037,,Maruti Suzuki,Equity,Automotive,HSBC India Opportunities Fund (G),,,9.51,1.47
2038,,J. K. Cement,Equity,Cement & Construction,HSBC India Opportunities Fund (G),,,9.48,1.46
2039,,Aurobindo Pharm,Equity,Pharmaceuticals,HSBC India Opportunities Fund (G),,,9.44,1.46
2040,,Balaji Amines,Equity,Chemicals,HSBC India Opportunities Fund (G),,,8.86,1.37
2041,,Vinati Organics,Equity,Chemicals,HSBC India Opportunities Fund (G),,,8.09,1.25
2042,,Srikalahasthi,Equity,Metals & Mining,HSBC India Opportunities Fund (G),,,7.53,1.16
2043,,NCL Industries,Equity,Cement & Construction,HSBC India Opportunities Fund (G),,,7.43,1.15
2044,,Arvind,Equity,Manufacturing,HSBC India Opportunities Fund (G),,,7.23,1.12
2045,,Tata Steel,Equity,Metals & Mining,HSBC India Opportunities Fund (G),,,7.05,1.09
2046,,Idea Cellular,Equity,Telecommunication,HSBC India Opportunities Fund (G),,,6.98,1.08
2047,,Welspun India,Equity,Manufacturing,HSBC India Opportunities Fund (G),,,6.91,1.07
2048,,Balkrishna Ind,Equity,Automotive,HSBC India Opportunities Fund (G),,,6.85,1.06
2049,,Astral Poly Tec,Equity,Manufacturing,HSBC India Opportunities Fund (G),,,6.79,1.05
2050,,UPL,Equity,Chemicals,HSBC India Opportunities Fund (G),,,6.77,1.04
2051,,Bharti Airtel,Equity,Telecommunication,HSBC India Opportunities Fund (G),,,6.6,1.02
2052,,JM Financial,Equity,Banking & Financial Services,HSBC India Opportunities Fund (G),,,6.53,1.01
2053,,Other Equity Investments,Others / Unlisted,,HSBC India Opportunities Fund (G),-,,70.11,10.83
2054,,CBLO,Cash / Call,,HSBC India Opportunities Fund (G),-,,13.14,2.03
2055,,Net Current Assets,Cash / Call,,HSBC India Opportunities Fund (G),-,,6.79,1
2056,,Larsen,Equity,Engineering & Capital Goods,L&T India Special Situations Fund - Direct Plan (G),,,59.99,4.59
2057,,Axis Bank,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,50.14,3.83
2058,,Cholamandalam,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,44.5,3.4
2059,,ICICI Bank,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,42.82,3.27
2060,,Jindal Steel,Equity,Metals & Mining,L&T India Special Situations Fund - Direct Plan (G),,,37.52,2.87
2061,,Federal Bank,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,35.76,2.73
2062,,HCL Tech,Equity,Information Technology,L&T India Special Situations Fund - Direct Plan (G),,,34.39,2.63
2063,,Bharat Forge,Equity,Manufacturing,L&T India Special Situations Fund - Direct Plan (G),,,32.67,2.5
2064,,Finolex Cables,Equity,Telecommunication,L&T India Special Situations Fund - Direct Plan (G),,,31.02,2.37
2065,,Dishman Carboge,Equity,Miscellaneous,L&T India Special Situations Fund - Direct Plan (G),,,30.17,2.31
2066,,IIFL Holdings,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,28.49,2.18
2067,,Muthoot Finance,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,28.23,2.16
2068,,Bharat Fin,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,27.85,2.13
2069,,Century,Equity,Conglomerates,L&T India Special Situations Fund - Direct Plan (G),,,26.38,2.02
2070,,Future Life,Equity,Retail & Real Estate,L&T India Special Situations Fund - Direct Plan (G),,,26.48,2.02
2071,,Emami,Equity,Consumer Non-durables,L&T India Special Situations Fund - Direct Plan (G),,,26.24,2.01
2072,,TCS,Equity,Information Technology,L&T India Special Situations Fund - Direct Plan (G),,,25.99,1.99
2073,,Kotak Mahindra,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,25.96,1.98
2074,,Divis Labs,Equity,Pharmaceuticals,L&T India Special Situations Fund - Direct Plan (G),,,25.34,1.94
2075,,Akzo Nobel,Equity,Chemicals,L&T India Special Situations Fund - Direct Plan (G),,,25.34,1.94
2076,,NOCIL,Equity,Chemicals,L&T India Special Situations Fund - Direct Plan (G),,,24.02,1.84
2077,,Bharti Airtel,Equity,Telecommunication,L&T India Special Situations Fund - Direct Plan (G),,,23.62,1.81
2078,,City Union Bank,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,23.66,1.81
2079,,KNR Construct,Equity,Cement & Construction,L&T India Special Situations Fund - Direct Plan (G),,,22.67,1.73
2080,,Dr Reddys Labs,Equity,Pharmaceuticals,L&T India Special Situations Fund - Direct Plan (G),,,21.16,1.62
2081,,ACC,Equity,Cement & Construction,L&T India Special Situations Fund - Direct Plan (G),,,21.08,1.61
2082,,India Cements,Equity,Cement & Construction,L&T India Special Situations Fund - Direct Plan (G),,,20.97,1.6
2083,,MphasiS,Equity,Information Technology,L&T India Special Situations Fund - Direct Plan (G),,,20.68,1.58
2084,,RSWM,Equity,Manufacturing,L&T India Special Situations Fund - Direct Plan (G),,,20.44,1.56
2085,,Future Retail,Equity,Retail & Real Estate,L&T India Special Situations Fund - Direct Plan (G),,,19.98,1.53
2086,,Ashok Leyland,Equity,Automotive,L&T India Special Situations Fund - Direct Plan (G),,,19.86,1.52
2087,,AIA Engineering,Equity,Engineering & Capital Goods,L&T India Special Situations Fund - Direct Plan (G),,,19.63,1.5
2088,,Brigade Ent,Equity,Retail & Real Estate,L&T India Special Situations Fund - Direct Plan (G),,,19.45,1.49
2089,,Swaraj Engines,Equity,Engineering & Capital Goods,L&T India Special Situations Fund - Direct Plan (G),,,19.18,1.47
2090,,Titan Company,Equity,Miscellaneous,L&T India Special Situations Fund - Direct Plan (G),,,19.12,1.46
2091,,HPCL,Equity,Oil & Gas,L&T India Special Situations Fund - Direct Plan (G),,,18.78,1.44
2092,,Bharti Infratel,Equity,Telecommunication,L&T India Special Situations Fund - Direct Plan (G),,,17.89,1.37
2093,,Petronet LNG,Equity,Oil & Gas,L&T India Special Situations Fund - Direct Plan (G),,,17.97,1.37
2094,,ICICI Lombard,Equity,Conglomerates,L&T India Special Situations Fund - Direct Plan (G),,,17.19,1.31
2095,,Poddar Housing,Equity,Manufacturing,L&T India Special Situations Fund - Direct Plan (G),,,16.99,1.3
2096,,Graphite India,Equity,Engineering & Capital Goods,L&T India Special Situations Fund - Direct Plan (G),,,15.2,1.16
2097,,Lupin,Equity,Pharmaceuticals,L&T India Special Situations Fund - Direct Plan (G),,,14.46,1.11
2098,,DLF,Equity,Retail & Real Estate,L&T India Special Situations Fund - Direct Plan (G),,,14.26,1.09
2099,,NALCO,Equity,Metals & Mining,L&T India Special Situations Fund - Direct Plan (G),,,13.55,1.04
2100,,ICICI Prudentia,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,13.67,1.04
2101,,Hind Zinc,Equity,Metals & Mining,L&T India Special Situations Fund - Direct Plan (G),,,12.84,0.98
2102,,Skipper,Equity,Miscellaneous,L&T India Special Situations Fund - Direct Plan (G),,,12.58,0.96
2103,,Tata Steel,Equity,Metals & Mining,L&T India Special Situations Fund - Direct Plan (G),,,11.89,0.91
2104,,Arihant Super,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,11.41,0.87
2105,,SBI,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,11.23,0.86
2106,,Wim Plast,Equity,Manufacturing,L&T India Special Situations Fund - Direct Plan (G),,,10.53,0.81
2107,,AB Capital,Equity,Miscellaneous,L&T India Special Situations Fund - Direct Plan (G),,,10.05,0.77
2108,,IDFC,Equity,Banking & Financial Services,L&T India Special Situations Fund - Direct Plan (G),,,9.58,0.73
2109,,Sun Pharma,Equity,Pharmaceuticals,L&T India Special Situations Fund - Direct Plan (G),,,8.32,0.64
2110,,Bajaj Auto,Equity,Automotive,L&T India Special Situations Fund - Direct Plan (G),,,5.57,0.43
2111,,Idea Cellular,Equity,Telecommunication,L&T India Special Situations Fund - Direct Plan (G),,,5.33,0.41
2112,,Idea Cellular,Equity,Telecommunication,L&T India Special Situations Fund - Direct Plan (G),,,0.51,0.04
2113,,Vedanta Limited - PREFERENCE SHARES,Others / Unlisted,,L&T India Special Situations Fund - Direct Plan (G),-,,2.61,0.2
2114,,Tata Steel,Others / Unlisted,,L&T India Special Situations Fund - Direct Plan (G),-,,0.53,0.04
2115,,Tata Steel Limited - Partly Paid Up Rights,Others / Unlisted,,L&T India Special Situations Fund - Direct Plan (G),-,,0.12,0.01
2116,,Fixed Rates Bonds - Corporate,Debt,,L&T India Special Situations Fund - Direct Plan (G),,,0.17,0.02
2117,,Blue Dart Express Limited,Debt,,L&T India Special Situations Fund - Direct Plan (G),ICRA AA,,0.1,0.01
2118,,Blue Dart Express Limited,Debt,,L&T India Special Situations Fund - Direct Plan (G),ICRA AA,,0.07,0.01
2119,,Collateralised Borrowing and Lending Obligation,Cash / Call,,L&T India Special Situations Fund - Direct Plan (G),-,,65.87,5.04
2120,,HDFC Bank,Equity,Banking & Financial Services,Tata Equity Opportunities Fund - Regular Plan (G),,,86.65,6.73
2121,,ICICI Bank,Equity,Banking & Financial Services,Tata Equity Opportunities Fund - Regular Plan (G),,,72.73,5.65
2122,,Yes Bank,Equity,Banking & Financial Services,Tata Equity Opportunities Fund - Regular Plan (G),,,46.57,3.62
2123,,Kotak Mahindra,Equity,Banking & Financial Services,Tata Equity Opportunities Fund - Regular Plan (G),,,46.49,3.61
2124,,ITC,Equity,Tobacco,Tata Equity Opportunities Fund - Regular Plan (G),,,40.03,3.11
2125,,Interglobe Avi,Equity,Services,Tata Equity Opportunities Fund - Regular Plan (G),,,39.56,3.07
2126,,NCC,Equity,Cement & Construction,Tata Equity Opportunities Fund - Regular Plan (G),,,36.12,2.8
2127,,KNR Construct,Equity,Cement & Construction,Tata Equity Opportunities Fund - Regular Plan (G),,,35.52,2.76
2128,,Maruti Suzuki,Equity,Automotive,Tata Equity Opportunities Fund - Regular Plan (G),,,35.49,2.76
2129,,Tata Motors,Equity,Automotive,Tata Equity Opportunities Fund - Regular Plan (G),,,35.35,2.75
2130,,Larsen,Equity,Engineering & Capital Goods,Tata Equity Opportunities Fund - Regular Plan (G),,,34.54,2.68
2131,,Sadbhav Engg,Equity,Engineering & Capital Goods,Tata Equity Opportunities Fund - Regular Plan (G),,,32.92,2.56
2132,,Dalmia Bharat,Equity,Cement & Construction,Tata Equity Opportunities Fund - Regular Plan (G),,,32.61,2.53
2133,,UltraTechCement,Equity,Cement & Construction,Tata Equity Opportunities Fund - Regular Plan (G),,,31.16,2.42
2134,,Tata Steel,Equity,Metals & Mining,Tata Equity Opportunities Fund - Regular Plan (G),,,26.87,2.09
2135,,Future Retail,Equity,Retail & Real Estate,Tata Equity Opportunities Fund - Regular Plan (G),,,25.97,2.02
2136,,Reliance,Equity,Oil & Gas,Tata Equity Opportunities Fund - Regular Plan (G),,,25.72,2
2137,,Shree Cements,Equity,Cement & Construction,Tata Equity Opportunities Fund - Regular Plan (G),,,24.85,1.93
2138,,IOC,Equity,Oil & Gas,Tata Equity Opportunities Fund - Regular Plan (G),,,24.84,1.93
2139,,Tata Global Bev,Equity,Food & Beverages,Tata Equity Opportunities Fund - Regular Plan (G),,,24.8,1.93
2140,,Infosys,Equity,Information Technology,Tata Equity Opportunities Fund - Regular Plan (G),,,23.49,1.82
2141,,ICICI Prudentia,Equity,Banking & Financial Services,Tata Equity Opportunities Fund - Regular Plan (G),,,22.68,1.76
2142,,Sun Pharma,Equity,Pharmaceuticals,Tata Equity Opportunities Fund - Regular Plan (G),,,22.27,1.73
2143,,Indiabulls,Equity,Banking & Financial Services,Tata Equity Opportunities Fund - Regular Plan (G),,,21.32,1.66
2144,,Divis Labs,Equity,Pharmaceuticals,Tata Equity Opportunities Fund - Regular Plan (G),,,20.47,1.59
2145,,Havells India,Equity,Engineering & Capital Goods,Tata Equity Opportunities Fund - Regular Plan (G),,,20.29,1.58
2146,,HDFC,Equity,Banking & Financial Services,Tata Equity Opportunities Fund - Regular Plan (G),,,19.96,1.55
2147,,Power Grid Corp,Equity,Utilities,Tata Equity Opportunities Fund - Regular Plan (G),,,19.85,1.54
2148,,Bata India,Equity,Consumer Non-durables,Tata Equity Opportunities Fund - Regular Plan (G),,,19.75,1.53
2149,,HCL Tech,Equity,Information Technology,Tata Equity Opportunities Fund - Regular Plan (G),,,18.81,1.46
2150,,Guj State Petro,Equity,Oil & Gas,Tata Equity Opportunities Fund - Regular Plan (G),,,18.6,1.44
2151,,TVS Motor,Equity,Automotive,Tata Equity Opportunities Fund - Regular Plan (G),,,18.39,1.43
2152,,Piramal Enter,Equity,Pharmaceuticals,Tata Equity Opportunities Fund - Regular Plan (G),,,17.7,1.37
2153,,SBI,Equity,Banking & Financial Services,Tata Equity Opportunities Fund - Regular Plan (G),,,17.47,1.36
2154,,HPCL,Equity,Oil & Gas,Tata Equity Opportunities Fund - Regular Plan (G),,,17.1,1.33
2155,,Muthoot Finance,Equity,Banking & Financial Services,Tata Equity Opportunities Fund - Regular Plan (G),,,16.01,1.24
2156,,Dishman Carboge,Equity,Miscellaneous,Tata Equity Opportunities Fund - Regular Plan (G),,,15.54,1.21
2157,,SIS,Equity,Miscellaneous,Tata Equity Opportunities Fund - Regular Plan (G),,,15.29,1.19
2158,,ONGC,Equity,Oil & Gas,Tata Equity Opportunities Fund - Regular Plan (G),,,14.89,1.16
